redshift,0,1,2,3,4,5
0.766070994431,0.009861030675356578,0.014122465994018198,0.014400450644391887,0.009880780171771332,0.005223457008930982,0.002597121333538926
0.746895983677,0.009683230885697064,0.013795804175827452,0.013999040363142222,0.009561691752205238,0.005035592068154979,0.0024959500412072375
0.728139812974,0.009504413145309656,0.013466319175470195,0.013589495425642825,0.009235555650668158,0.004846871719512629,0.002397547310491985
0.709790186694,0.009327896729341529,0.013152266539178045,0.013199205370015232,0.008924581479228809,0.0046675772890127564,0.00230441920176828
0.691829691175,0.009140730992946598,0.012842899676763006,0.012834353469545574,0.00864317810645421,0.0045082289988684346,0.002222019677167808
0.6742441438,0.008942373411909543,0.012538387817962723,0.012498296594364218,0.008391199302579368,0.004364319340409313,0.0021463042483075667
0.657021030163,0.00874231578065294,0.012249479693807524,0.012198571437164015,0.00817290961423723,0.004235894883347436,0.0020763248456720372
0.64014776919,0.008551872751203308,0.011974991542513736,0.011916778581008439,0.007969831357143456,0.004117396748736915,0.00201319868912464
0.62361196249,0.008375041299978903,0.011708933944734698,0.011629756172478327,0.0077582413424228955,0.0040005183801667486,0.0019569078269973364
0.607400667055,0.008205926614885891,0.011455451481219842,0.011350570691406247,0.00754881105125366,0.0038856396191311268,0.001902605091453057
0.591504059912,0.008048452508279891,0.01121792319295118,0.011087129239462628,0.007351826826084237,0.003776250474150652,0.0018476263458193113
0.575911444972,0.007900424435481172,0.010985838645475057,0.010825549658657738,0.007158292029244246,0.003670436462581084,0.0017940790597644662
0.560611804213,0.007753047761855824,0.010756191649905558,0.010567814791477646,0.006966466844431949,0.0035659734799237323,0.0017433601384215587
0.545596435003,0.007605498711211745,0.010531212198839374,0.010321906396658738,0.006785404017274614,0.0034674560500751453,0.0016968547428507204
0.530856164133,0.007458111542963589,0.010309545031036794,0.010083197894358048,0.0066115898237216865,0.0033726715810052,0.0016509279397054653
0.516381170357,0.007315180728785725,0.01008991634955588,0.009838977373835336,0.006431573681871402,0.0032760489054594003,0.0016042443474757874
0.502164020343,0.00718018719797109,0.009877814378306355,0.009601430805101133,0.0062611875967538535,0.0031884254262079022,0.0015626763837243607
